is_medicaid,is_tele_opt,Quad,Region,pos_sales_mean,pos_sales_std,pos_sales_median,pos_sales_p25,pos_sales_p75,utilization_mean,utilization_std,utilization_median,utilization_p25,utilization_p75,asp_mean,asp_std,asp_median,asp_p25,asp_p75,eo_pct_mean,eo_pct_std,eo_pct_median,eo_pct_p25,eo_pct_p75,epp_pct_mean,epp_pct_std,epp_pct_median,epp_pct_p25,epp_pct_p75,ri_pct_mean,ri_pct_std,ri_pct_median,ri_pct_p25,ri_pct_p75,mas_pct_mean,mas_pct_std,mas_pct_median,mas_pct_p25,mas_pct_p75,appts_created_mean,appts_created_std,appts_created_median,appts_created_p25,appts_created_p75,patient_fallout_mean,patient_fallout_std,patient_fallout_median,patient_fallout_p25,patient_fallout_p75,comp_exam_pct_mean,comp_exam_pct_std,comp_exam_pct_median,comp_exam_pct_p25,comp_exam_pct_p75
0.0,0.0,"1. High Supply, High Demand",Region 1,57880.22880413534,19631.52934300316,55119.120800000004,45467.187925,69794.30595000001,0.7734140681019841,0.10649926971749774,0.7748837522744121,0.7156006768189509,0.8542162805802122,433.50426052068354,82.37089392738456,427.00212583554963,372.79637576891673,485.00159000699085,0.3082563418428042,0.06883398047488508,0.30364617757215245,0.26666666666666666,0.3524837273038712,0.6748301000673051,0.12714979790322198,0.6945578231292517,0.5978085723493394,0.7709362038317203,0.8673619001143441,0.19180748873380007,0.9206299212598426,0.73995148995149,0.9842054263565891,0.5974923332893743,0.1860085692537899,0.5732142857142857,0.4671875,0.7142857142857143,198.593984962406,51.082624538296066,198.0,162.0,231.75,21.39097744360902,11.747876298785446,21.0,15.0,28.0,0.6616007599954957,0.06723918129198657,0.6626295053261345,0.6261526011182683,0.702948402948403
0.0,0.0,"1. High Supply, High Demand",Region 2,62210.28967585715,24974.03316330713,56966.0764,45439.452775,71263.68465,0.8206473082664557,0.11468855525268662,0.8399327122153208,0.7652756605691057,0.8932986556779031,430.7173083001623,80.31137579571588,418.2575910373066,371.27423906236277,472.6794655663235,0.30299611585720204,0.06795047125455184,0.29925417823506995,0.2568975225225225,0.3496359223300971,0.5275627798592755,0.1543298764696634,0.5209688763847371,0.4296730324074074,0.625,0.7428747285149147,0.14427054374340814,0.7470608339029392,0.6691282672506174,0.8231396217023395,0.5479649057426424,0.13437743324152476,0.5505102040816326,0.45454545454545453,0.6391666666666667,224.84857142857143,81.99368366555062,208.5,162.75,267.25,30.87142857142857,17.113541082170656,30.0,21.0,40.0,0.7085089672221673,0.0589574230603018,0.7102036199095023,0.671948717948718,0.75
0.0,0.0,"1. High Supply, High Demand",Region 3,50611.00756208791,15291.846007797532,49324.7425,39227.4253,58993.82255,0.7872247907113947,0.09127494510131805,0.7959573612228479,0.7330605799598048,0.853860294117647,368.4954916744416,70.02547206198766,364.0810179121398,318.1004136904762,411.6517152327448,0.32081541139030634,0.05747595866112239,0.3232212475633528,0.2845541219456497,0.35574776785714285,0.6271410217541628,0.12404932548269068,0.6157103825136612,0.5419642857142857,0.7084748379129361,0.6719279630851063,0.20104890695075145,0.7222222222222222,0.5820642107429512,0.8150268336314848,0.5201320109139992,0.18401792049762203,0.4854215918045705,0.39019896831245393,0.6241554054054054,222.7087912087912,74.72437626688833,212.5,164.75,277.0,33.57142857142857,17.36901595010438,31.0,24.0,42.0,0.7265786970392594,0.07590238197229182,0.7220418763187795,0.6757463037950843,0.7723659003831418
0.0,0.0,"1. High Supply, High Demand",Region 4,56373.073500000006,20094.33822494016,50849.7527,42209.969675,68808.38365,0.7868533238520997,0.113749932431657,0.8024538590604027,0.7133625730994152,0.8663212435233161,379.2348712099462,48.32133566733664,377.36069287878786,342.13077666666663,412.8292982031554,0.3078985264862965,0.06705257557461287,0.3006410256410256,0.26440602836879434,0.35031829192721536,0.6421708523066321,0.1330334930582247,0.6545092838196287,0.5639233954451346,0.7361990950226245,0.8125696929143756,0.11098743659545757,0.8082579185520362,0.7416636462486408,0.8903713474025974,0.3966613220810946,0.1475336865860568,0.4,0.29002192982456143,0.48807394156231365,223.89495798319328,74.67601962451045,203.5,171.0,259.5,31.365546218487395,15.78751275480362,30.0,22.0,40.0,0.6784249310203717,0.04884258095492712,0.6808076484018265,0.6456940691224577,0.712212677037381
0.0,0.0,"1. High Supply, High Demand",Region 5,58291.37291887755,21220.846812604297,55883.0996,44251.31255,70578.743025,0.8445595348826221,0.10091913699555376,0.8486177350254628,0.7853520738597217,0.8994985720927143,387.3263007767396,66.47797127085107,380.65321698265427,336.9909376354334,431.7531420421687,0.32837676826517853,0.07840910512444299,0.3309172446159462,0.2762304921968788,0.3816387559808613,0.5758505246650893,0.17039956956862684,0.5876775271512114,0.45454545454545453,0.7066354903943377,0.7403627996116755,0.1601434726554436,0.7563777170376156,0.6513228077661617,0.845419689119171,0.46780055513185875,0.17011521439114277,0.47368421052631576,0.36455773955773957,0.5771367521367521,234.24319727891157,74.70339103192039,223.5,184.75,275.5,30.625850340136054,17.875763148304827,29.0,19.0,41.25,0.7019865044159513,0.07563048404577362,0.7110243055555556,0.654002079002079,0.7550405704450455
0.0,0.0,"2. High Supply, Low Demand",Region 1,46691.92935,14959.068964773951,44382.539600000004,35701.992275,55691.755225,0.7018051726072907,0.11269180398296295,0.7081543475040735,0.6310446166176863,0.7813337160352085,421.27193147198244,97.11537698321874,408.09907357424675,347.9738368373379,476.9632444864865,0.33336703182347904,0.08910700471917953,0.3333333333333333,0.25990384615384615,0.39087244457241577,0.5998418593735213,0.1548752903615341,0.6015327813828597,0.5065822784810127,0.7099431818181818,0.7370550879009349,0.16814567888560822,0.7442916450441099,0.6187800963081862,0.857409381663113,0.5301973423180908,0.1912480336187928,0.5178799489144317,0.4106753812636165,0.6217672413793104,176.4030612244898,57.65695004088187,160.5,134.0,214.25,27.244897959183675,17.768922005014918,24.0,14.0,38.25,0.677565239697174,0.061021164684418025,0.6804138321995465,0.6441724941724942,0.7191700268817205
0.0,0.0,"2. High Supply, Low Demand",Region 2,47319.13423246753,15230.03973391937,44094.68755,35857.846925000005,57855.689875000004,0.6997030715613062,0.11844617745893367,0.7167944650096951,0.6176440062272963,0.7792008604892041,421.08224589320065,86.60619345461916,417.05827617187504,349.5089940657808,491.1897505408118,0.32467194966877744,0.06411376942005868,0.325,0.27500947328533537,0.3647339199664781,0.5062858328057408,0.1888279006548839,0.537308868501529,0.3673898228078146,0.6555807916937054,0.7110512097765906,0.15842220134501472,0.7485632183908046,0.5923106204796346,0.8379646017699115,0.4477888394909178,0.1514074861360972,0.449944382647386,0.3554147465437788,0.55,191.37012987012986,45.49738932375286,189.0,156.25,221.5,35.422077922077925,16.46854100134079,35.0,27.0,44.75,0.7293093584307491,0.05819814181761136,0.7272727272727273,0.691873915558126,0.7734172387490466
0.0,0.0,"2. High Supply, Low Demand",Region 3,47958.58821857143,29013.783827966174,38713.86655,29949.617975,53160.16855,0.6533796631638547,0.12047976087702282,0.6624589525240718,0.5875286041189932,0.7402008520998173,365.2534627215607,74.1315656409304,367.4707398717949,312.44225792238865,412.23563521721644,0.3201007544958093,0.0906612551542997,0.31956809750927395,0.2597824012216072,0.38169642857142855,0.6052223514048611,0.12272855012636598,0.6086956521739131,0.5074404761904762,0.707548076923077,0.7553156211847988,0.17167889098788522,0.7314898081534772,0.6218688200395517,0.8663419913419914,0.5601151806758149,0.2056524014957271,0.5477272727272727,0.41250000000000003,0.6942307692307692,230.82857142857142,104.06313405067185,214.0,151.0,281.0,41.785714285714285,22.71651562674035,36.5,27.0,59.25,0.6961872987425285,0.10461184511165593,0.6900387929426686,0.6222928226239484,0.750157662392264
0.0,0.0,"2. High Supply, Low Demand",Region 4,46591.73335178571,15739.015164647366,45473.40805,34391.226050000005,56014.886475,0.7073264356446096,0.10658171595829911,0.7263431013431013,0.6392623308598865,0.7800080021339024,401.88931838353113,63.068994581815105,395.6977955747436,352.2802799210527,448.1790347894562,0.3024974855644983,0.05462551081566674,0.30793384467881113,0.257117269984917,0.34210526315789475,0.6080526167702301,0.10676650191385365,0.6014705882352941,0.5290567446490791,0.6925641025641025,0.8452036723086641,0.1355037844453188,0.8764394206993995,0.7517201834862386,0.9466635338345865,0.40084137536865944,0.12507284721381928,0.4,0.32219061166429586,0.4732142857142857,180.55357142857142,54.27820216600057,178.5,141.5,220.0,29.419642857142858,13.877610714765678,29.0,22.0,36.25,0.6878177899864141,0.04419233660678094,0.6850583460172501,0.6544227886056971,0.719380421949592
0.0,0.0,"2. High Supply, Low Demand",Region 5,44690.61766948052,16477.399095484976,42544.398,31960.786549999997,55848.32485,0.6671968337652426,0.1321810944971541,0.7071265456165757,0.5998931623931624,0.7568046709129512,421.56660536842776,110.87057631279939,421.3723236083098,341.06114766836316,474.84190244848253,0.35858375727992137,0.0792660015431879,0.3551314560256239,0.30403575297941493,0.4105017396081304,0.5369047440740433,0.182370763548265,0.5094339622641509,0.3906832298136646,0.6699866310160427,0.7206459529931951,0.24517004375915788,0.7878935532233883,0.5136228910168719,0.9023085585585586,0.4708409076504603,0.18447867781562127,0.5,0.3333333333333333,0.5802207130730052,187.05844155844156,49.58207522055024,183.0,155.25,220.75,36.46103896103896,20.979645634272476,33.0,25.25,48.0,0.6842077960062414,0.07550310170380845,0.6932929421768708,0.6304639259018524,0.7332298136645963
